date,symbol,timestamp,open,high,low,close,volume,turnover
2025-02-05,700.HK,2025-02-05,421.600,421.600,410.000,417.800,32129392,13372038998.000
2025-02-06,700.HK,2025-02-06,416.200,420.400,413.400,420.400,19585105,8177045145.000
2025-02-07,700.HK,2025-02-07,420.400,432.400,417.800,428.200,34567530,14741790890.000
2025-02-10,700.HK,2025-02-10,429.600,439.800,428.800,437.000,31411302,13701174483.000
2025-02-11,700.HK,2025-02-11,440.000,441.200,425.600,427.400,30893563,13324637665.000
2025-02-12,700.HK,2025-02-12,429.000,444.600,426.000,444.200,38264929,16740640484.000
2025-02-13,700.HK,2025-02-13,449.000,464.600,437.000,442.000,60985718,27423907000.000
2025-02-14,700.HK,2025-02-14,449.800,474.800,446.600,474.800,74519223,34511558043.000
2025-02-17,700.HK,2025-02-17,506.000,512.000,485.000,493.600,126223580,63032650373.000
2025-02-18,700.HK,2025-02-18,494.200,513.000,493.800,503.500,62529454,31471019731.000
2025-02-19,700.HK,2025-02-19,500.000,500.500,493.200,497.800,34127174,16979621053.000
2025-02-20,700.HK,2025-02-20,491.200,493.000,482.600,486.800,34549151,16830027103.000
2025-02-21,700.HK,2025-02-21,505.000,517.000,499.400,517.000,73545153,37396803472.000
2025-02-24,700.HK,2025-02-24,522.000,522.000,497.200,497.200,67542767,34199696303.000
2025-02-25,700.HK,2025-02-25,477.800,491.000,476.400,484.800,56509529,27378431338.000
2025-02-26,700.HK,2025-02-26,488.000,508.000,487.800,501.500,40489654,20234072819.000
2025-02-27,700.HK,2025-02-27,503.500,512.000,491.600,495.400,38902820,19434077170.000
2025-02-28,700.HK,2025-02-28,492.800,497.800,476.000,478.600,52160819,25187448106.000
2025-03-03,700.HK,2025-03-03,483.600,497.000,479.800,483.200,32752021,15971446262.000
2025-03-04,700.HK,2025-03-04,479.000,493.000,473.200,491.000,31124964,15131838819.000
2025-03-05,700.HK,2025-03-05,502.000,509.000,498.000,505.500,35165757,17704409771.000
2025-03-06,700.HK,2025-03-06,521.000,544.000,521.000,544.000,79683892,42493519327.000
2025-03-07,700.HK,2025-03-07,539.000,547.000,529.000,533.500,46494425,24958094063.000
2025-03-10,700.HK,2025-03-10,528.000,537.500,512.000,516.500,34415026,17943129937.000
2025-03-11,700.HK,2025-03-11,501.500,520.000,500.500,517.500,33852768,17316782894.000
2025-03-12,700.HK,2025-03-12,523.000,525.000,505.000,512.000,28031056,14392005064.000
2025-03-13,700.HK,2025-03-13,513.000,516.000,499.200,507.500,27326941,13847803125.000
2025-03-14,700.HK,2025-03-14,513.000,531.000,507.500,521.500,30711707,16031719897.000
2025-03-17,700.HK,2025-03-17,532.000,534.500,522.000,524.500,22096160,11643059956.000
2025-03-18,700.HK,2025-03-18,538.500,543.500,533.500,541.000,33639833,18122094127.000
2025-03-19,700.HK,2025-03-19,542.500,545.000,534.000,540.000,31604153,17070297193.000
2025-03-20,700.HK,2025-03-20,540.500,541.000,518.000,519.500,49845030,26156573461.000
2025-03-21,700.HK,2025-03-21,518.000,526.000,505.500,511.500,42260479,21649092742.000
2025-03-24,700.HK,2025-03-24,514.000,517.500,504.500,513.000,24598555,12575591612.000
2025-03-25,700.HK,2025-03-25,513.000,515.500,501.000,502.000,27744935,14019727299.000
2025-03-26,700.HK,2025-03-26,502.000,510.500,502.000,506.500,17310634,8757798653.000
2025-03-27,700.HK,2025-03-27,509.000,516.000,502.000,509.000,17595617,8980372215.000
2025-03-28,700.HK,2025-03-28,511.500,516.500,503.500,509.500,18594342,9479836573.000
2025-03-31,700.HK,2025-03-31,505.000,507.500,494.600,497.000,28036973,13996725056.000
2025-04-01,700.HK,2025-04-01,501.000,511.500,500.000,504.000,19518013,9865122834.000
2025-04-02,700.HK,2025-04-02,505.000,509.000,499.200,504.000,14247546,7168421768.000
2025-04-03,700.HK,2025-04-03,493.000,500.500,491.200,497.800,29219618,14472384655.000
